Site,Metric,Year,Jan1-15,Jan16-31,Feb1-15,Feb16-28,Mar1-15,Mar16-31
Austin,JN-MW,2015,0,0,2,0,3,7
Dallas,NDVI,2001,0.40688,0.413519,0.40884,0.463961,0.495439,0.50153
Dallas,NDVI,2002,0.402201,0.398793,0.401881,0.40458,0.390809,0.479934
Dallas,NDVI,2003,0.401827,0.386085,0.405035,0.426516,0.478764,0.54441
Dallas,NDVI,2004,0.364976,0.375236,0.377883,0.38473,0.421834,0.537466
Dallas,NDVI,2005,0.374707,0.379272,0.391675,0.413654,0.4506,0.504459
Dallas,NDVI,2006,0.296382,0.300098,0.298448,0.305079,0.39128,0.441956
Dallas,NDVI,2007,0.43165,0.4287,0.425691,0.437865,0.481974,0.615405
Dallas,NDVI,2008,0.335468,0.332718,0.341878,0.356918,0.38633,0.474818
Dallas,NDVI,2009,0.345075,0.341712,0.327705,0.35975,0.39839,0.464257
Dallas,NDVI,2010,0.385526,0.36234,0.380182,0.370907,0.410693,0.453996
Dallas,NDVI,2011,0.410693,0.453996,0.340879,0.383322,0.416064,0.500689
Dallas,NDVI,2012,0.477418,0.467129,0.51213,0.52016,0.579889,0.662302
Dallas,NDVI,2013,0.339523,0.367169,0.399494,0.411351,0.430953,0.508033
Dallas,NDVI,2014,0.395772,0.384433,0.359539,0.395806,0.396943,0.472005
Dallas,NDVI,2015,0.395446,0.38575,0.410339,0.394955,0.401176,0.500685
Dallas,JN-Adult,2015,0,0,0,0,0,2
Dallas,JN-Adult,2015,0,0,0,0,1,18
Dallas,JN-Adult,2015,0,0,0,0,0,12
Dallas,JN-Adult,2015,0,0,0,0,0,6
Dallas,JN-Adult,2015,0,0,0,0,0,6
Dallas,JN-Adult,2015,0,0,0,0,9,8
Dallas,JN-Adult,2015,0,0,0,0,5,4
Dallas,JN-Adult,2015,0,0,0,0,1,16
Dallas,JN-Adult,2015,0,0,0,0,3,20
Dallas,JN-Adult,2015,0,0,0,0,0,14
Dallas,JN-Adult,2015,0,0,0,0,2,9
Dallas,JN-Adult,2015,0,0,0,1,7,18
Dallas,JN-Adult,2015,0,0,0,0,0,10
Dallas,JN-Adult,2015,0,0,0,0,0,14
Dallas,JN-Adult,2015,0,0,0,0,0,1
Dallas,JN-Egg,2015,0,0,0,0,0,0
Dallas,JN-Egg,2015,0,0,0,0,0,0
Dallas,JN-Egg,2015,0,0,0,0,0,0
Dallas,JN-Egg,2015,0,0,0,0,0,0
Dallas,JN-Egg,2015,0,0,0,0,0,0
Dallas,JN-Egg,2015,0,0,0,0,1,0
Dallas,JN-Egg,2015,0,0,0,0,0,0
Dallas,JN-Egg,2015,0,0,0,0,0,0
Dallas,JN-Egg,2015,0,0,0,0,0,3
Dallas,JN-Egg,2015,0,0,0,0,0,0
Dallas,JN-Egg,2015,0,0,0,0,0,1
Dallas,JN-Egg,2015,0,0,0,0,1,3
Dallas,JN-Egg,2015,0,0,0,0,0,1
Dallas,JN-Egg,2015,0,0,0,0,0,1
Dallas,JN-Egg,2015,0,0,0,0,0,0
Dallas,JN-MW,2015,0,0,0,0,0,0
Dallas,JN-MW,2015,0,0,0,0,0,1
Dallas,JN-MW,2015,0,0,0,0,0,0
Dallas,JN-MW,2015,0,0,0,0,0,1
Dallas,JN-MW,2015,0,0,0,0,2,0
Dallas,JN-MW,2015,0,0,0,0,2,0
Dallas,JN-MW,2015,0,0,0,0,0,1
Dallas,JN-MW,2015,0,0,0,0,1,3
Dallas,JN-MW,2015,0,0,1,0,1,2
Dallas,JN-MW,2015,0,0,0,0,0,3
Dallas,JN-MW,2015,0,0,0,0,2,1
Dallas,JN-MW,2015,0,0,0,0,3,1
Dallas,JN-MW,2015,0,0,0,1,1,7
Dallas,JN-MW,2015,0,0,0,0,0,6
Dallas,JN-MW,2015,0,0,0,0,0,7
,,,,,,,,
